time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
0.005000,0.000000,-0.000021,0.000010
0.010000,0.000001,-0.000113,0.000011
0.015000,0.000000,-0.000496,0.000013
0.020000,-0.000001,-0.000936,0.000001
0.025000,-0.000001,-0.001920,-0.000043
0.030000,0.000000,-0.002805,-0.000063
0.035000,0.000000,-0.004359,-0.000102
0.040000,-0.000003,-0.005496,-0.000105
0.045000,-0.000026,-0.007323,-0.000095
0.050000,-0.000055,-0.008561,-0.000087
0.055000,-0.000128,-0.010232,-0.000075
0.060000,-0.000196,-0.011097,-0.000057
0.065000,-0.000345,-0.011929,0.000013
0.070000,-0.000477,-0.012133,0.000069
0.075000,-0.000702,-0.011962,0.000142
0.080000,-0.000852,-0.011566,0.000185
0.085000,-0.001051,-0.010659,0.000252
0.090000,-0.001169,-0.009939,0.000316
0.095000,-0.001336,-0.008797,0.000420
0.100000,-0.001439,-0.008021,0.000499
0.105000,-0.001594,-0.006910,0.000623
0.110000,-0.001699,-0.006245,0.000707
0.115000,-0.001856,-0.005359,0.000819
0.120000,-0.001945,-0.004860,0.000882
0.125000,-0.002032,-0.004278,0.000964
0.130000,-0.002079,-0.003986,0.001030
0.135000,-0.002162,-0.003686,0.001132
0.140000,-0.002242,-0.003530,0.001188
0.145000,-0.002378,-0.003116,0.001255
0.150000,-0.002497,-0.002599,0.001293
0.155000,-0.002684,-0.001365,0.001302
0.160000,-0.002812,-0.000254,0.001295
0.165000,-0.002991,0.001767,0.001240
0.170000,-0.003095,0.003299,0.001188
0.175000,-0.003204,0.005809,0.001085
0.180000,-0.003228,0.007574,0.001001
0.185000,-0.003207,0.010295,0.000897
0.190000,-0.003184,0.012106,0.000837
0.195000,-0.003167,0.014765,0.000743
0.200000,-0.003165,0.016469,0.000671
0.205000,-0.003170,0.018768,0.000545
0.210000,-0.003177,0.019936,0.000466
0.215000,-0.003200,0.020931,0.000330
0.220000,-0.003215,0.021045,0.000230
0.225000,-0.003239,0.020518,0.000084
0.230000,-0.003253,0.019796,-0.000006
0.235000,-0.003270,0.018309,-0.000116
0.240000,-0.003280,0.017122,-0.000186
0.245000,-0.003292,0.015213,-0.000278
0.250000,-0.003294,0.013900,-0.000322
0.255000,-0.003271,0.011934,-0.000367
0.260000,-0.003239,0.010645,-0.000401
0.265000,-0.003167,0.008795,-0.000452
0.270000,-0.003113,0.007675,-0.000500
0.275000,-0.003031,0.006238,-0.000566
0.280000,-0.002966,0.005480,-0.000610
0.285000,-0.002886,0.004625,-0.000700
0.290000,-0.002860,0.004239,-0.000760
0.295000,-0.002884,0.003876,-0.000843
0.300000,-0.002936,0.003733,-0.000875
0.305000,-0.002991,0.003636,-0.000881
0.310000,-0.002998,0.003608,-0.000886
0.314999,-0.002977,0.003581,-0.000905
0.319999,-0.002942,0.003576,-0.000923
0.324999,-0.002868,0.003548,-0.000958
0.329999,-0.002803,0.003490,-0.000991
0.334999,-0.002713,0.003293,-0.001063
0.339999,-0.002670,0.003055,-0.001110
0.344999,-0.002649,0.002515,-0.001177
0.349999,-0.002670,0.002044,-0.001209
0.354999,-0.002705,0.001177,-0.001216
0.359999,-0.002719,0.000534,-0.001211
0.364999,-0.002767,-0.000463,-0.001197
0.369999,-0.002815,-0.001151,-0.001158
0.374999,-0.002829,-0.002155,-0.001054
0.379999,-0.002768,-0.002760,-0.000984
0.384999,-0.002568,-0.003578,-0.000909
0.389999,-0.002401,-0.004028,-0.000886
0.394998,-0.002152,-0.004544,-0.000871
0.399998,-0.002000,-0.004799,-0.000857
0.404998,-0.001778,-0.005063,-0.000833
0.409998,-0.001645,-0.005176,-0.000822
0.414998,-0.001460,-0.005226,-0.000789
0.419998,-0.001347,-0.005211,-0.000772
0.424998,-0.001233,-0.005106,-0.000747
0.429998,-0.001184,-0.005005,-0.000721
0.434998,-0.001125,-0.004847,-0.000667
0.439998,-0.001095,-0.004768,-0.000646
0.444998,-0.001092,-0.004690,-0.000627
0.449998,-0.001114,-0.004671,-0.000608
0.454998,-0.001147,-0.004671,-0.000560
0.459998,-0.001161,-0.004686,-0.000534
0.464998,-0.001157,-0.004707,-0.000486
0.469997,-0.001136,-0.004717,-0.000461
0.474997,-0.001084,-0.004717,-0.000432
0.479997,-0.001042,-0.004719,-0.000429
0.484997,-0.000993,-0.004714,-0.000434
0.489997,-0.000975,-0.004717,-0.000446
0.494997,-0.000970,-0.004736,-0.000451
0.499997,-0.000979,-0.004730,-0.000453
0.504997,-0.000992,-0.004659,-0.000419
0.509997,-0.000989,-0.004583,-0.000394
0.514997,-0.000965,-0.004425,-0.000359
0.519997,-0.000939,-0.004298,-0.000338
0.524997,-0.000883,-0.004120,-0.000309
0.529997,-0.000837,-0.004013,-0.000302
0.534997,-0.000762,-0.003851,-0.000280
0.539997,-0.000701,-0.003737,-0.000269
0.544997,-0.000605,-0.003608,-0.000266
0.549996,-0.000536,-0.003528,-0.000264
0.554996,-0.000427,-0.003415,-0.000272
0.559996,-0.000355,-0.003353,-0.000295
0.564996,-0.000251,-0.003259,-0.000337
0.569996,-0.000184,-0.003194,-0.000366
0.574996,-0.000092,-0.003074,-0.000429
0.579996,-0.000037,-0.002984,-0.000484
0.584996,0.000038,-0.002836,-0.000543
0.589996,0.000083,-0.002728,-0.000572
0.594996,0.000142,-0.002566,-0.000615
0.599996,0.000176,-0.002449,-0.000630
0.604996,0.000219,-0.002281,-0.000634
0.609996,0.000242,-0.002171,-0.000635
0.614996,0.000267,-0.002028,-0.000629
0.619996,0.000279,-0.001947,-0.000617
0.624996,0.000285,-0.001835,-0.000585
0.629995,0.000281,-0.001748,-0.000559
0.634995,0.000266,-0.001635,-0.000524
0.639995,0.000249,-0.001550,-0.000496
0.644995,0.000216,-0.001401,-0.000467
0.649995,0.000187,-0.001304,-0.000443
0.654995,0.000135,-0.001156,-0.000402
0.659995,0.000090,-0.001062,-0.000378
0.664995,0.000023,-0.000920,-0.000374
0.669995,-0.000017,-0.000829,-0.000390
0.674995,-0.000064,-0.000675,-0.000413
0.679995,-0.000087,-0.000565,-0.000436
0.684995,-0.000108,-0.000402,-0.000461
0.689995,-0.000115,-0.000283,-0.000476
0.694995,-0.000115,-0.000140,-0.000506
0.699995,-0.000103,-0.000076,-0.000538
0.704994,-0.000075,0.000016,-0.000552
0.709994,-0.000058,0.000076,-0.000543
0.714994,-0.000042,0.000149,-0.000531
0.719994,-0.000033,0.000185,-0.000539
0.724994,-0.000024,0.000218,-0.000526
0.729994,-0.000032,0.000240,-0.000500
0.734994,-0.000063,0.000266,-0.000473
0.739994,-0.000087,0.000303,-0.000488
0.744994,-0.000114,0.000367,-0.000525
0.749994,-0.000123,0.000415,-0.000553
0.754994,-0.000124,0.000499,-0.000585
0.759994,-0.000119,0.000566,-0.000603
0.764994,-0.000099,0.000649,-0.000637
0.769994,-0.000081,0.000697,-0.000647
0.774994,-0.000051,0.000754,-0.000647
0.779994,-0.000036,0.000786,-0.000640
0.784993,-0.000020,0.000820,-0.000623
0.789993,-0.000016,0.000853,-0.000613
0.794993,-0.000016,0.000884,-0.000596
0.799993,-0.000024,0.000910,-0.000582
0.804993,-0.000047,0.000922,-0.000565
0.809993,-0.000066,0.000922,-0.000568
0.814993,-0.000090,0.000911,-0.000596
0.819993,-0.000102,0.000891,-0.000604
0.824993,-0.000121,0.000878,-0.000608
0.829993,-0.000137,0.000853,-0.000613
0.834993,-0.000156,0.000819,-0.000639
0.839993,-0.000165,0.000799,-0.000646
0.844993,-0.000182,0.000798,-0.000641
0.849993,-0.000195,0.000809,-0.000649
0.854993,-0.000209,0.000834,-0.000678
0.859993,-0.000212,0.000835,-0.000712
0.864992,-0.000209,0.000820,-0.000739
0.869992,-0.000202,0.000816,-0.000756
0.874992,-0.000191,0.000802,-0.000770
0.879992,-0.000182,0.000801,-0.000781
0.884992,-0.000166,0.000813,-0.000791
0.889992,-0.000154,0.000818,-0.000802
0.894992,-0.000135,0.000814,-0.000815
0.899992,-0.000122,0.000807,-0.000829
0.904992,-0.000097,0.000793,-0.000845
0.909992,-0.000070,0.000784,-0.000944
0.914992,0.000030,0.000770,-0.001312
0.919992,0.000163,0.000754,-0.001734
0.924992,0.000525,0.000690,-0.002724
0.929992,0.000911,0.000662,-0.003591
0.934992,0.001751,0.000638,-0.005130
0.939991,0.002501,0.000607,-0.006283
0.944991,0.003930,0.000557,-0.008130
0.949991,0.005083,0.000530,-0.009362
0.954991,0.007084,0.000508,-0.011011
0.959991,0.008568,0.000504,-0.011843
0.964991,0.010932,0.000506,-0.012596
