time, Quad.Roll, Quad.Est.Roll, Quad.Pitch, Quad.Est.Pitch, Quad.Yaw, Quad.Est.Yaw
0.005000,0.000015,0.000018,-0.000025,-0.000033,0.000000,0.000000
0.010000,0.000055,0.000050,-0.000310,-0.000251,0.000002,0.000002
0.015000,0.000106,0.000110,-0.001403,-0.001577,0.000003,0.000004
0.020000,0.000123,0.000125,-0.004084,-0.003709,0.000001,0.000002
0.025000,0.000033,0.000018,-0.009178,-0.009839,-0.000009,-0.000008
0.030000,-0.000151,-0.000130,-0.017644,-0.016602,-0.000021,-0.000017
0.035000,-0.000431,-0.000467,-0.030239,-0.031723,-0.000031,-0.000029
0.040000,-0.000774,-0.000744,-0.047441,-0.045480,-0.000034,-0.000038
0.045000,-0.001094,-0.001126,-0.069604,-0.072083,-0.000024,-0.000053
0.050000,-0.001403,-0.001368,-0.096912,-0.093938,0.000007,-0.000064
0.055000,-0.001712,-0.001726,-0.129062,-0.132511,0.000059,-0.000081
0.060000,-0.002014,-0.001955,-0.165176,-0.161428,0.000134,-0.000095
0.065000,-0.002237,-0.002190,-0.204018,-0.208025,0.000229,-0.000136
0.070000,-0.002335,-0.002238,-0.244174,-0.240179,0.000340,-0.000183
0.075000,-0.002368,-0.002221,-0.284267,-0.288282,0.000468,-0.000261
0.080000,-0.002411,-0.002203,-0.323038,-0.319323,0.000604,-0.000304
0.085000,-0.002513,-0.002236,-0.359513,-0.363098,0.000743,-0.000335
0.090000,-0.002648,-0.002278,-0.393066,-0.389952,0.000884,-0.000342
0.095000,-0.002786,-0.002337,-0.423462,-0.426441,0.001024,-0.000340
0.100000,-0.002927,-0.002374,-0.450584,-0.448147,0.001163,-0.000332
0.105000,-0.003040,-0.002396,-0.474509,-0.476879,0.001298,-0.000323
0.110000,-0.003120,-0.002386,-0.495503,-0.493679,0.001430,-0.000322
0.115000,-0.003177,-0.002347,-0.513894,-0.515769,0.001555,-0.000325
0.120000,-0.003245,-0.002334,-0.530026,-0.528679,0.001667,-0.000321
0.125000,-0.003364,-0.002374,-0.544334,-0.545872,0.001766,-0.000285
0.130000,-0.003485,-0.002409,-0.557259,-0.556216,0.001857,-0.000258
0.135000,-0.003575,-0.002432,-0.569194,-0.570557,0.001942,-0.000237
0.140000,-0.003596,-0.002404,-0.580397,-0.579535,0.002018,-0.000253
0.145000,-0.003573,-0.002328,-0.590619,-0.591803,0.002086,-0.000305
0.150000,-0.003460,-0.002225,-0.599009,-0.598545,0.002139,-0.000377
0.155000,-0.003284,-0.002021,-0.604351,-0.604952,0.002174,-0.000515
0.160000,-0.003040,-0.001854,-0.605426,-0.605838,0.002186,-0.000628
0.165000,-0.002744,-0.001566,-0.601148,-0.600707,0.002176,-0.000812
0.170000,-0.002418,-0.001362,-0.590687,-0.592358,0.002152,-0.000932
0.175000,-0.002106,-0.001082,-0.573394,-0.571614,0.002116,-0.001080
0.180000,-0.001853,-0.000943,-0.548821,-0.551969,0.002070,-0.001139
0.185000,-0.001654,-0.000796,-0.516706,-0.513446,0.002018,-0.001177
0.190000,-0.001439,-0.000692,-0.476976,-0.481669,0.001964,-0.001199
0.195000,-0.001174,-0.000488,-0.429756,-0.425025,0.001911,-0.001246
0.200000,-0.000880,-0.000331,-0.375284,-0.381450,0.001866,-0.001283
0.205000,-0.000593,-0.000102,-0.314091,-0.308053,0.001835,-0.001330
0.210000,-0.000331,0.000030,-0.247428,-0.254699,0.001821,-0.001352
0.215000,-0.000098,0.000193,-0.177239,-0.170520,0.001823,-0.001379
0.220000,0.000041,0.000226,-0.105789,-0.113333,0.001831,-0.001388
0.225000,0.000107,0.000186,-0.035174,-0.028625,0.001840,-0.001401
0.230000,0.000092,0.000097,0.032927,0.025876,0.001845,-0.001410
0.235000,0.000065,-0.000046,0.097253,0.103050,0.001848,-0.001423
0.240000,0.000033,-0.000139,0.156855,0.150743,0.001851,-0.001431
0.245000,-0.000001,-0.000273,0.211234,0.216002,0.001854,-0.001439
0.250000,-0.000005,-0.000333,0.260162,0.255151,0.001858,-0.001438
0.255000,0.000078,-0.000312,0.303582,0.307270,0.001864,-0.001408
0.260000,0.000241,-0.000233,0.341560,0.337659,0.001877,-0.001368
0.265000,0.000481,-0.000025,0.374265,0.376925,0.001899,-0.001274
0.270000,0.000758,0.000146,0.402084,0.399181,0.001925,-0.001199
0.275000,0.001037,0.000411,0.425634,0.427469,0.001953,-0.001084
0.280000,0.001350,0.000614,0.445692,0.443513,0.001983,-0.000995
0.285000,0.001629,0.000879,0.463071,0.464397,0.002016,-0.000877
0.290000,0.001827,0.001002,0.478548,0.476778,0.002049,-0.000825
0.295000,0.001909,0.001059,0.492794,0.493896,0.002082,-0.000809
0.300000,0.001896,0.001029,0.506266,0.504678,0.002114,-0.000834
0.305000,0.001915,0.001024,0.519326,0.520369,0.002140,-0.000856
0.310000,0.002001,0.001073,0.532188,0.530668,0.002161,-0.000845
0.314999,0.002138,0.001201,0.544929,0.545972,0.002177,-0.000802
0.319999,0.002323,0.001322,0.557575,0.556101,0.002194,-0.000754
0.324999,0.002548,0.001541,0.570123,0.571173,0.002211,-0.000660
0.329999,0.002812,0.001712,0.582456,0.581054,0.002233,-0.000579
0.334999,0.003074,0.001962,0.594313,0.595291,0.002258,-0.000460
0.339999,0.003291,0.002101,0.605288,0.604089,0.002283,-0.000397
0.344999,0.003434,0.002235,0.614892,0.615620,0.002306,-0.000348
0.349999,0.003488,0.002266,0.622644,0.621839,0.002324,-0.000352
0.354999,0.003502,0.002285,0.628084,0.628376,0.002330,-0.000375
0.359999,0.003491,0.002290,0.630884,0.630627,0.002321,-0.000393
0.364999,0.003404,0.002232,0.630900,0.630660,0.002297,-0.000464
0.369999,0.003241,0.002152,0.628050,0.628390,0.002259,-0.000539
0.374999,0.003120,0.002082,0.622318,0.621531,0.002210,-0.000609
0.379999,0.003116,0.002117,0.613927,0.614824,0.002148,-0.000594
0.384999,0.003234,0.002295,0.603136,0.601895,0.002076,-0.000477
0.389999,0.003398,0.002445,0.590281,0.591614,0.002000,-0.000370
0.394998,0.003545,0.002648,0.575809,0.574269,0.001923,-0.000213
